variant,qnum,type,question,A,B,C,D,correct,score,solution,topic,difficulty,tolerance
4,1,mcq,|x - 3| = 7. x-ийн утгыг ол.,2,-4,10,15,C,1,"x = [10, -4]",Модульт тэгшитгэл,Hard,
4,2,mcq,|x - 2| = 4. x-ийн утгыг ол.,-2,13,20,6,D,1,"x = [6, -2]",Модульт тэгшитгэл,Hard,
4,3,mcq,|x - 9| = 5. x-ийн утгыг ол.,14,1,4,15,A,1,"x = [14, 4]",Модульт тэгшитгэл,Easy,
4,4,mcq,|x - 5| = 5. x-ийн утгыг ол.,0,8,10,3,C,1,"x = [10, 0]",Модульт тэгшитгэл,Easy,
4,5,mcq,|x - 7| = 10. x-ийн утгыг ол.,-3,17,20,14,B,1,"x = [17, -3]",Модульт тэгшитгэл,Hard,
4,6,mcq,|x - 7| = 10. x-ийн утгыг ол.,17,16,-3,4,A,1,"x = [17, -3]",Модульт тэгшитгэл,Hard,
4,7,mcq,|x - 3| = 2. x-ийн утгыг ол.,16,1,7,5,D,1,"x = [5, 1]",Модульт тэгшитгэл,Medium,
4,8,mcq,|x - 3| = 9. x-ийн утгыг ол.,6,12,-6,10,B,1,"x = [12, -6]",Модульт тэгшитгэл,Medium,
4,9,mcq,|x - 3| = 3. x-ийн утгыг ол.,0,6,4,20,B,1,"x = [6, 0]",Модульт тэгшитгэл,Easy,
4,10,mcq,|x - 8| = 10. x-ийн утгыг ол.,10,-2,18,8,C,1,"x = [18, -2]",Модульт тэгшитгэл,Hard,
4,11,mcq,|x - 9| = 1. x-ийн утгыг ол.,8,14,10,18,C,1,"x = [10, 8]",Модульт тэгшитгэл,Medium,
4,12,mcq,|x - 6| = 10. x-ийн утгыг ол.,3,14,-4,16,D,1,"x = [16, -4]",Модульт тэгшитгэл,Medium,
4,13,mcq,|x - 2| = 1. x-ийн утгыг ол.,1,1,7,3,D,1,"x = [3, 1]",Модульт тэгшитгэл,Hard,
4,14,mcq,|x - 4| = 4. x-ийн утгыг ол.,6,0,8,1,C,1,"x = [8, 0]",Модульт тэгшитгэл,Hard,
4,15,mcq,|x - 9| = 6. x-ийн утгыг ол.,3,11,15,12,C,1,"x = [15, 3]",Модульт тэгшитгэл,Medium,
4,16,mcq,|x - 5| = 2. x-ийн утгыг ол.,16,4,7,3,C,1,"x = [7, 3]",Модульт тэгшитгэл,Easy,
4,17,mcq,|x - 5| = 10. x-ийн утгыг ол.,17,-5,15,11,C,1,"x = [15, -5]",Модульт тэгшитгэл,Hard,
4,18,mcq,|x - 4| = 1. x-ийн утгыг ол.,19,5,14,3,B,1,"x = [5, 3]",Модульт тэгшитгэл,Hard,
4,19,mcq,|x - 2| = 4. x-ийн утгыг ол.,-2,11,6,17,C,1,"x = [6, -2]",Модульт тэгшитгэл,Hard,
4,20,mcq,|x - 2| = 8. x-ийн утгыг ол.,10,5,18,-6,A,1,"x = [10, -6]",Модульт тэгшитгэл,Hard,
4,21,mcq,|x - 9| = 5. x-ийн утгыг ол.,13,14,15,4,B,1,"x = [14, 4]",Модульт тэгшитгэл,Medium,
4,22,mcq,|x - 8| = 2. x-ийн утгыг ол.,0,10,6,12,B,1,"x = [10, 6]",Модульт тэгшитгэл,Medium,
4,23,mcq,|x - 4| = 3. x-ийн утгыг ол.,12,1,7,4,C,1,"x = [7, 1]",Модульт тэгшитгэл,Easy,
4,24,mcq,|x - 6| = 1. x-ийн утгыг ол.,5,7,17,14,B,1,"x = [7, 5]",Модульт тэгшитгэл,Medium,
4,25,mcq,|x - 7| = 4. x-ийн утгыг ол.,11,5,6,3,A,1,"x = [11, 3]",Модульт тэгшитгэл,Medium,
4,26,mcq,|x - 6| = 1. x-ийн утгыг ол.,1,7,20,5,B,1,"x = [7, 5]",Модульт тэгшитгэл,Hard,
4,27,mcq,|x - 5| = 8. x-ийн утгыг ол.,6,13,-3,20,B,1,"x = [13, -3]",Модульт тэгшитгэл,Hard,
4,28,mcq,|x - 3| = 3. x-ийн утгыг ол.,6,0,16,18,A,1,"x = [6, 0]",Модульт тэгшитгэл,Hard,
4,29,mcq,|x - 1| = 5. x-ийн утгыг ол.,-4,6,17,4,B,1,"x = [6, -4]",Модульт тэгшитгэл,Medium,
4,30,mcq,|x - 4| = 4. x-ийн утгыг ол.,8,0,5,10,A,1,"x = [8, 0]",Модульт тэгшитгэл,Easy,
4,31,mcq,|x - 7| = 8. x-ийн утгыг ол.,1,-1,4,15,D,1,"x = [15, -1]",Модульт тэгшитгэл,Hard,
4,32,mcq,|x - 6| = 8. x-ийн утгыг ол.,14,5,7,-2,A,1,"x = [14, -2]",Модульт тэгшитгэл,Easy,
4,33,mcq,|x - 6| = 5. x-ийн утгыг ол.,4,3,11,1,C,1,"x = [11, 1]",Модульт тэгшитгэл,Medium,
4,34,mcq,|x - 5| = 10. x-ийн утгыг ол.,15,2,13,-5,A,1,"x = [15, -5]",Модульт тэгшитгэл,Hard,
4,35,mcq,|x - 10| = 3. x-ийн утгыг ол.,19,8,7,13,D,1,"x = [13, 7]",Модульт тэгшитгэл,Hard,
4,36,mcq,|x - 7| = 9. x-ийн утгыг ол.,14,8,16,-2,C,1,"x = [16, -2]",Модульт тэгшитгэл,Easy,
4,37,mcq,|x - 3| = 4. x-ийн утгыг ол.,8,7,-1,20,B,1,"x = [7, -1]",Модульт тэгшитгэл,Hard,
4,38,mcq,|x - 9| = 10. x-ийн утгыг ол.,16,-1,19,15,C,1,"x = [19, -1]",Модульт тэгшитгэл,Hard,
4,39,mcq,|x - 7| = 8. x-ийн утгыг ол.,11,15,2,-1,B,1,"x = [15, -1]",Модульт тэгшитгэл,Easy,
4,40,mcq,|x - 10| = 5. x-ийн утгыг ол.,15,2,5,20,A,1,"x = [15, 5]",Модульт тэгшитгэл,Easy,
